Date	WinningTeam	WinningScore	LosingTeam	LosingScore
2017-1-2	North Carolina-Wilmington	79	Elon	63	
2017-1-2	North Florida	102	Palm Beach Atlantic	67	
2017-1-2	Old Dominion	55	North Texas	48	
2017-1-2	St. Peter's	71	Monmouth	61	
2017-1-2	South Alabama	76	Troy	75	
2017-1-2	Southeastern Louisiana	74	Incarnate Word	63	
2017-1-2	Southern	59	Prairie View	57	
2017-1-2	Stetson	95	Ave Maria	72	
2017-1-2	Kennesaw State	76	Tennessee State	73	
2017-1-2	Texas-Arlington	84	Appalachian State	69	
2017-1-2	Coastal Carolina	60	Texas State	53	
2017-1-2	Utah Valley	102	Antelope Valley	63	
2017-1-2	Vermont	82	Harvard	71	
2017-1-2	Samford	70	Western Carolina	65	
2017-1-2	Citadel	104	Wofford	103	
2017-1-2	Yale	88	Hartford	72	
2017-1-20	Akron	70	Eastern Michigan	63	
2017-1-20	Yale	75	Brown	74	
2017-1-20	Youngstown State	92	Green Bay	89	
2017-1-20	Iona	96	Fairfield	89	
2017-1-20	Milwaukee	63	Cleveland State	62	
2017-1-20	Monmouth	82	Manhattan	71	
2017-1-20	Oakland	79	Northern Kentucky	70	
2017-1-20	Quinnipiac	95	Canisius	90	
2017-1-20	Wright State	106	Detroit	88	
2017-1-21	Southern	53	Alabama A&M;	52	
